longitude	latitude	speed
-122.537663	45.50403	7.4
-122.442595	45.50443	12.4
-122.441825	45.504427	11.8
-122.537297	45.504038	5
-122.441048	45.50442	5.112
-122.536607	45.504022	0.714
-122.440258	45.504417	12.4
-122.439425	45.504413	12.8
-122.535847	45.504018	14.2
-122.438593	45.50441	13
-122.5351	45.504022	11
-122.437737	45.50441	13.2
-122.436803	45.504412	14.4
-122.53433	45.504023	12.6
-122.43593	45.504407	13.4
-122.4353	45.504393	9.2
-122.53341	45.504017	14.4
-122.43517	45.504392	1.6
-122.532462	45.504012	14.6
-122.434393	45.504403	3.05
-122.43409	45.504405	4.8
-122.531502	45.504005	11.8
-122.433602	45.504403	7.8
-122.433085	45.5044	7.8
-122.530578	45.504002	14.4
-122.432537	45.504397	8.6
-122.529898	45.503993	10.6
-122.432	45.504395	8.2
-122.431577	45.504393	6.2
-122.529597	45.503992	6
-122.431443	45.504393	1.8
-122.431423	45.504395	0.133
-122.528558	45.504003	2.257
-122.431093	45.504393	5.6
-122.527817	45.503998	11.6
-122.43054	45.504408	8.6
-122.429973	45.504485	8.8
-122.527032	45.504002	10
-122.429687	45.50448	4.2
-122.429612	45.504275	5.2
-122.52622	45.504007	15.75
-122.429623	45.503885	8.6
-122.525403	45.503993	12.6
-122.4296	45.503538	7.2
-122.429272	45.503317	7.4
-122.524583	45.50401	12.6
-122.428782	45.503185	8.2
-122.428352	45.503068	7
-122.523768	45.504023	12.6
-122.428128	45.503008	3.4
-122.522973	45.504023	12.4
-122.428035	45.502978	2
-122.427547	45.502912	8.2
-122.427062	45.5029	7
-122.426287	45.502938	1.378
-122.425777	45.502948	8.2
-122.425113	45.502955	10.4
-122.522157	45.504032	12.6
-122.424418	45.502967	10.6
-122.42377	45.502973	10
-122.521335	45.50403	12.6
-122.423132	45.50298	10
-122.422463	45.502988	10.4
-122.520542	45.504027	12.4
-122.421813	45.50299	9.8
-122.519747	45.504028	12.2
-122.421382	45.50299	6.2
-122.42127	45.50299	1.4
-122.518943	45.504035	12.4
-122.421057	45.502993	4
-122.420438	45.503002	9.8
-122.518158	45.504047	12.2
-122.419723	45.503013	11.2
-122.517407	45.50404	11.6
-122.419052	45.503027	10.2
-122.41842	45.503033	9.6
-122.516755	45.504048	10.2
-122.417807	45.502857	5.5
-122.417798	45.50251	8
-122.516498	45.504053	4
-122.417952	45.502213	6.2
-122.41803	45.502132	0.005
-122.515658	45.50407	3.25
-122.418065	45.50196	4.2
-122.514937	45.50408	11
-122.417833	45.501952	4
-122.41803	45.50258	0
-122.51418	45.504092	11.8
-122.418107	45.502813	5
-122.513438	45.504102	11.4
-122.41811	45.50288	1
-122.41811	45.50288	0
-122.41811	45.50288	1
-122.418123	45.502925	2
-122.41831	45.50297	3.6
-122.41865	45.502958	7.6
-122.419018	45.502938	5.4
-122.419135	45.502942	0.5
-122.42016	45.50291	8.3
-122.420788	45.502928	9.2
-122.421068	45.502947	3.4
-122.421225	45.502968	3.2
-122.421785	45.50296	9.2
-122.422498	45.502957	11.2
-122.423262	45.50296	12
-122.424027	45.502955	12
-122.424762	45.502958	11.6
-122.425485	45.502957	11.2
-122.426003	45.502957	7.2
-122.426167	45.502962	2.6
-122.426313	45.503132	5
-122.426233	45.503427	6.2
-122.426018	45.504162	3.44
-122.42602	45.504625	9.6
-122.426083	45.504908	6
-122.426577	45.504985	8.4
-122.427328	45.504957	11.8
-122.42811	45.504928	12
-122.428935	45.504808	13.4
-122.429782	45.50465	13.4
-122.430598	45.50454	12.8
-122.431425	45.50453	12.8
-122.432258	45.504533	12.8
-122.433063	45.50454	4.354
-122.433888	45.504543	13
-122.434802	45.504552	14.2
-122.435713	45.504558	14
-122.436358	45.504573	8.8
-122.436522	45.504573	1.6
-122.437245	45.504558	1.829
-122.437995	45.50456	11.8
-122.438848	45.504563	13.4
-122.439753	45.504568	14
-122.440633	45.50457	13.6
-122.441487	45.504573	13.2
-122.442375	45.504573	13.8
-122.443295	45.504578	14.4
-122.444258	45.504585	15
-122.445208	45.504587	14.6
-122.446163	45.504573	15
-122.44713	45.504562	14.8
-122.448102	45.50455	15
-122.44904	45.504537	14.6
-122.450012	45.504525	15.2
-122.450987	45.504517	15
-122.451935	45.504508	14.6
-122.452765	45.504507	12.4
-122.453542	45.504503	12.2
-122.454332	45.5045	12
-122.455037	45.504503	10.8
-122.455795	45.504505	12.2
-122.456685	45.50451	14
-122.457628	45.504513	14.6
-122.458602	45.504513	15.2
-122.459585	45.504513	15.2
-122.460602	45.504513	15.8
-122.461595	45.504518	15.2
-122.46258	45.504527	15.4
-122.46358	45.504533	15.4
-122.46457	45.504543	15.2
-122.465543	45.50455	15
-122.46651	45.504557	12
-122.467463	45.504565	17.6
-122.468403	45.504572	14.6
-122.469375	45.504578	15.2
-122.47036	45.50459	12.2
-122.471338	45.504598	18.2
-122.472303	45.504607	11.8
-122.473225	45.504615	14.4
-122.473988	45.504625	11.8
-122.474493	45.504627	8
-122.474792	45.504627	4.6
-122.474867	45.504627	1.2
-122.474867	45.504627	0
-122.475072	45.504628	3
-122.475613	45.504635	8.4
-122.476282	45.50464	10.2
-122.476833	45.504642	8.6
-122.477073	45.504648	4
-122.477988	45.504645	2.3
